id,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze,total,year,age
1273,Ayaka Takahashi,JPN,female,4/19/1990,1.65,60,badminton,1,0,0,1,1990,26
1274,Ayami Oishi,JPN,female,4/9/1991,1.69,57,rowing,0,0,0,0,1991,25
1275,Ayane Kurihara,JPN,female,9/27/1989,1.72,59,badminton,0,0,0,0,1989,27
1276,Ayanleh Souleiman,DJI,male,12/3/1992,1.9,70,athletics,0,0,0,0,1992,24
1277,Ayesha Shahriyar Mohammed Albalooshi,UAE,female,1/23/1992,1.6,57,weightlifting,0,0,0,0,1992,24
1278,Ayman Fayez,EGY,male,3/3/1991,1.81,72,fencing,0,0,0,0,1991,25
1279,Aymen Hammed,TUN,male,7/26/1983,1.96,100,handball,0,0,0,0,1983,33
1280,Aymen Toumi,TUN,male,7/11/1990,1.83,77,handball,0,0,0,0,1990,26
1281,Ayomide Folorunso,ITA,female,10/17/1996,1.7,55,athletics,0,0,0,0,1996,20
1282,Ayonika Paul,IND,female,9/23/1992,1.74,74,shooting,0,0,0,0,1992,24
1283,Ayoub Abdellaoui,ALG,male,2/16/1993,1.75,68,football,0,0,0,0,1993,23
1284,Ayouba Traore,MLI,male,8/9/1982,1.8,68.5,judo,0,0,0,0,1982,34
1285,Ayse Cora,TUR,female,3/3/1993,1.75,69,basketball,0,0,0,0,1993,23
1286,Ayuko Suzuki,JPN,female,10/8/1991,1.54,39,athletics,0,0,0,0,1991,25
1287,Ayyasamy Dharun,IND,male,12/31/1996,1.77,64,athletics,0,0,0,0,1996,20
1288,Azad Albarzi,SYR,male,1/4/1988,1.95,85,aquatics,0,0,0,0,1988,28
1289,Azahara Munoz,ESP,female,11/19/1987,1.67,56,golf,0,0,0,0,1987,29
1290,Azenaide Daniela Carlos,ANG,female,6/14/1990,1.8,69,handball,0,0,0,0,1990,26
1291,Aziz Ouhadi,MAR,male,7/24/1984,1.68,72,athletics,0,0,0,0,1984,32
1292,Azizulhasni Awang,MAS,male,1/5/1988,1.66,69,cycling,0,0,1,1,1988,28
1293,Azmy Mehelba,EGY,male,3/26/1991,1.72,77,shooting,0,0,0,0,1991,25
1294,Azucena Diaz,ESP,female,12/19/1982,1.63,55,athletics,0,0,0,0,1982,34
1295,Azza Besbes,TUN,female,11/28/1990,1.75,62,fencing,0,0,0,0,1990,26
1296,Baard Magnus Nesteng,NOR,male,5/14/1979,1.83,80,archery,0,0,0,0,1979,37
1297,Babett Peter,GER,female,5/12/1988,1.71,64,football,1,0,0,1,1988,28
1298,Baboloki Thebe,BOT,male,3/18/1997,1.71,65.5,athletics,0,0,0,0,1997,19
1299,Bachana Khorava,GEO,male,3/15/1993,1.71,67,athletics,0,0,0,0,1993,23
1300,Bachir Mahamat,CHA,male,12/1/1996,1.86,59,athletics,0,0,0,0,1996,20
1301,Badawy Mohamed Moneim,EGY,male,1/11/1986,1.95,91,volleyball,0,0,0,0,1986,30
1302,Baean Jouma,SYR,female,4/13/1994,1.82,76,aquatics,0,0,0,0,1994,22
1303,Baghdad Bounedjah,ALG,male,11/24/1991,1.89,75,football,0,0,0,0,1991,25
1304,Bahar Caglar,TUR,female,9/28/1988,1.9,76,basketball,0,0,0,0,1988,28
1305,Bakhodir Jalolov,UZB,male,7/8/1994,1.98,73,boxing,0,0,0,0,1994,22
1306,Bakhtiyar Kozhatayev,KAZ,male,3/28/1992,1.77,70,cycling,0,0,0,0,1992,24
1307,Balasz Sziranyi Somogyi,ESP,male,1/10/1983,1.96,106,aquatics,0,0,0,0,1983,33
1308,Balazs Baji,HUN,male,6/9/1989,1.92,85,athletics,0,0,0,0,1989,27
1309,Balazs Erdelyi,HUN,male,2/16/1990,1.96,94,aquatics,0,0,0,0,1990,26
1310,Balazs Harai,HUN,male,4/5/1987,2.02,110,aquatics,0,0,0,0,1987,29
1311,Balazs Kiss,HUN,male,1/27/1983,1.78,105,wrestling,0,0,0,0,1983,33
1312,Balint Kopasz,HUN,male,1/1/1997,1.81,72,canoe,0,0,0,0,1997,19
1313,Balla Dieye,SEN,male,11/13/1980,1.88,68,taekwondo,0,0,0,0,1980,36
1314,Bambanani Mbane,RSA,female,3/12/1990,1.62,59,football,0,0,0,0,1990,26
1315,Baofang Zhao,CHN,female,8/12/1993,1.7,64,cycling,0,0,0,0,1993,23
1316,Barakat Mubarak Al-Harthi,OMA,male,6/15/1988,1.73,67,athletics,0,0,0,0,1988,28
1317,Barbara,BRA,female,7/4/1988,1.71,75,football,0,0,0,0,1988,28
1318,Barbara Arenhart,BRA,female,10/4/1986,1.82,73,handball,0,0,0,0,1986,30
1319,Barbara Bujka,HUN,female,9/5/1986,1.72,82,aquatics,0,0,0,0,1986,30
1320,Barbara Cornudella Ravetllat,ESP,female,9/6/1992,1.6,50,sailing,0,0,0,0,1992,24
1321,Barbara Engleder,GER,female,9/16/1982,1.62,72,shooting,1,0,0,1,1982,34
1322,Barbara Kovacs,HUN,female,7/26/1993,1.67,52,athletics,0,0,0,0,1993,23
1323,Barbara Matic,CRO,female,12/3/1994,1.71,70,judo,0,0,0,0,1994,22
1324,Barbara Nwaba,USA,female,1/18/1989,1.76,66,athletics,0,0,0,0,1989,27
1325,Barbara Pla,ESP,female,7/17/1983,1.62,61,rugby sevens,0,0,0,0,1983,33
1326,Barbara Riveros,CHI,female,8/3/1987,1.57,46,triathlon,0,0,0,0,1987,29
1327,Barbara Seixas de Freitas,BRA,female,8/3/1987,1.77,66,volleyball,0,1,0,1,1987,29
1328,Barbara Szabo,HUN,female,2/17/1990,1.73,58,athletics,0,0,0,0,1990,26
1329,Barbora Balazova,SVK,female,3/18/1992,1.69,73,table tennis,0,0,0,0,1992,24
1330,Barbora Hermannova,CZE,female,11/7/1990,1.8,79,volleyball,0,0,0,0,1990,26
1331,Barbora Kodedova,CZE,female,2/27/1990,1.65,54,modern pentathlon,0,0,0,0,1990,26
1332,Barbora Mokosova,SVK,female,3/10/1997,1.68,62,gymnastics,0,0,0,0,1997,19
1333,Barbora Seemanova,CZE,female,4/1/2000,1.75,56,aquatics,0,0,0,0,2000,16
1334,Barbora Spotakova,CZE,female,6/30/1981,1.82,80,athletics,0,0,1,1,1981,35
1335,Barbora Strycova,CZE,female,3/28/1986,1.65,62,tennis,0,0,1,1,1986,30
1336,Barbora Zavadova,CZE,female,1/23/1993,1.77,68,aquatics,0,0,0,0,1993,23
1337,Barna Bor,HUN,male,12/12/1986,1.91,130,judo,0,0,0,0,1986,30
1338,Barnabe Delarze,SUI,male,6/30/1994,1.93,100,rowing,0,0,0,0,1994,22
1339,Barrett Laursen,DEN,male,11/17/1994,1.84,75,football,0,0,0,0,1994,22
1340,Barry Middleton,GBR,male,1/12/1984,1.76,70,hockey,0,0,0,0,1984,32
1341,Bart Deurloo,NED,male,2/23/1991,1.7,60,gymnastics,0,0,0,0,1991,25
1342,Bartlomiej Wojciech Bonk,POL,male,10/11/1984,1.81,104,weightlifting,0,0,0,0,1984,32
1343,Bartosz Bednorz,POL,male,7/25/1994,2.01,84,volleyball,0,0,0,0,1994,22
1344,Bartosz Jurecki,POL,male,1/31/1979,1.92,107,handball,0,0,0,0,1979,37
1345,Bartosz Kurek,POL,male,8/29/1988,2.05,87,volleyball,0,0,0,0,1988,28
1346,Bartosz Losiak,POL,male,5/14/1992,1.9,88,volleyball,0,0,0,0,1992,24
1347,Bas Verwijlen,NED,male,10/1/1983,1.9,85,fencing,0,0,0,0,1983,33
1348,Bashar Resan,IRQ,male,12/22/1996,1.75,69,football,0,0,0,0,1996,20
1349,Bashir Abdi,BEL,male,2/10/1989,1.76,56,athletics,0,0,0,0,1989,27
1350,Bashir Asgari Babajanzadeh Darzi,IRI,male,8/20/1989,1.88,130,wrestling,0,0,0,0,1989,27
1351,Bassel Alrayes,QAT,male,3/4/1979,1.8,95,handball,0,0,0,0,1979,37
1352,Bassem Hassan Mohammed,QAT,male,5/31/1987,1.77,78,equestrian,0,0,0,0,1987,29
1353,Basten Caerts,BEL,male,10/27/1997,1.85,85,aquatics,0,0,0,0,1997,19
1354,Bastian Steger,GER,male,3/19/1981,1.7,65,table tennis,0,0,1,1,1981,35
1355,Bastien Auzeil,FRA,male,10/22/1989,1.95,89,athletics,0,0,0,0,1989,27
1356,Battsetseg Soronzonbold,MGL,female,5/3/1990,1.7,67,wrestling,0,0,0,0,1990,26
1357,Batuhan Gozgec,TUR,male,12/20/1990,1.72,67.5,boxing,0,0,0,0,1990,26
1358,Bauke Mollema,NED,male,11/26/1986,1.84,68,cycling,0,0,0,0,1986,30
1359,Baul An,KOR,male,3/25/1994,1.69,66,judo,0,1,0,1,1994,22
1360,Bautista Ezcurra,ARG,male,4/21/1995,1.8,82,rugby sevens,0,0,0,0,1995,21
1361,Bautista Saubidet Birkner,ARG,male,11/28/1995,1.79,72,sailing,0,0,0,0,1995,21
1362,Bayron Guama de la Cruz,ECU,male,6/14/1985,1.65,61,cycling,0,0,0,0,1985,31
1363,Bayron Piedra,ECU,male,8/19/1982,1.75,68,athletics,0,0,0,0,1982,34
1364,Beata Mikolajczyk,POL,female,10/15/1985,1.7,68,canoe,0,0,1,1,1985,31
1365,Beata Naigambo,NAM,female,3/11/1980,1.67,48,athletics,0,0,0,0,1980,36
1366,Beate Schrott,AUT,female,4/15/1988,1.77,71,athletics,0,0,0,0,1988,28
1367,Beatrice Bartelloni,ITA,female,2/5/1993,1.65,50,cycling,0,0,0,0,1993,23
1368,Beatrice Callegari,ITA,female,12/20/1991,1.75,60,aquatics,0,0,0,0,1991,25
1369,Beatrice Chepkoech,KEN,female,7/6/1991,1.7,54,athletics,0,0,0,0,1991,25
1370,Beatrice Edwige,FRA,female,10/3/1988,1.82,76,handball,0,1,0,1,1988,28
1371,Beatrice Gyaman,GHA,female,2/17/1987,1.8,53,athletics,0,0,0,0,1987,29
1372,Beatrice Kamuchanga Alice,COD,female,11/20/1997,1.78,61,athletics,0,0,0,0,1997,19
1373,Beatriz,BRA,female,12/17/1993,1.76,69,football,0,0,0,0,1993,23
1374,Beatriz Elizabeth Piron Candelario,DOM,female,2/27/1995,1.5,48,weightlifting,0,0,0,0,1995,21
1375,Beatriz Feres,BRA,female,2/22/1988,1.63,56,aquatics,0,0,0,0,1988,28
1376,Beatriz Ferrer-Salat,ESP,female,3/11/1966,1.76,58,equestrian,0,0,0,0,1966,50
1377,Beatriz Muhlbauer,BRA,female,2/26/1986,1.72,67,rugby sevens,0,0,0,0,1986,30
1378,Beatriz Ortiz Munoz,ESP,female,6/21/1995,1.76,64,aquatics,0,0,0,0,1995,21
